frequency_GHz,gain_dB
1.0,0.03705723153930537
1.0999999999999999,0.0369407190506456
1.2,0.030438990115991865
1.3,0.020126292820862854
1.4,0.007192782062242276
1.5,-0.009860781401692898
1.6,-0.01580389456749464
1.7,-0.0161042837720517
1.8,0.010902713497512845
1.9,0.060753092983935754
2.0,0.13945004868828045
2.1,0.24395150236847235
2.2,0.3586826023490879
2.3,0.4741695296813898
2.4,0.5660967964963188
2.5,0.6333419164733576
2.6,0.6589738473617708
2.7,0.6413343098666734
2.8,0.5816660898902838
2.9,0.4906845492597339
3.0,0.38284710175367337
3.0999999999999996,0.2670412531616866
3.1999999999999997,0.16143310827718277
3.3,0.07291445254660078
3.4,0.012540927894402682
3.5,0.000672335995627394
3.5999999999999996,0.05080131181103199
3.6999999999999997,0.21898598916927647
3.8,0.51116650355507
3.9,0.9510613062970424
3.9999999999999996,1.5198743876094065
4.1,2.190433383786326
4.2,2.8975115753175924
4.3,3.6416954665972625
4.4,4.342563567494622
4.5,5.071140960649677
4.6,5.726024421865156
4.7,6.417935127750863
4.8,7.043906292391878
4.8999999999999995,7.672310439284989
5.0,8.265717471882956
5.1,8.790889928457702
5.199999999999999,9.336737611318206
5.3,9.75911764797707
5.3999999999999995,10.252672449018313
5.5,10.621682563549077
5.6,11.047225397618039
5.699999999999999,11.419530082166553
5.8,11.743109122230564
5.8999999999999995,12.123831874613153
6.0,12.349769124322702
6.1,12.694700940943637
6.199999999999999,12.901742563038416
6.3,13.165161663758116
6.3999999999999995,13.413652422206264
6.499999999999999,13.578867557237345
6.6,13.852516816316545
6.699999999999999,13.955586263847547
6.8,14.1795433797982
6.8999999999999995,14.313049258879344
6.999999999999999,14.442189644331991
7.1,14.626652831985567
7.199999999999999,14.689755447260284
7.3,14.877752317915789
7.3999999999999995,14.920462311624858
7.499999999999999,15.044465578880235
7.6,15.15929307487562
7.699999999999999,15.191589714660251
7.8,15.33438037844261
7.8999999999999995,15.332295615872361
7.999999999999999,15.481294025774142
8.1,15.552866155533948
8.2,15.63296112149871
8.3,15.811235493778051
8.4,15.939434502173704
8.5,16.411786421448898
8.6,0.5722219726488265
8.7,9.122750728622192
8.799999999999999,0.17884960608238126
8.9,16.21711119675745
9.0,15.84778893138234
9.1,15.782858121168061
9.2,15.60067907310594
9.299999999999999,15.497238950591537
9.399999999999999,15.42297128961216
9.5,15.305452587407192
9.6,15.338447681627084
9.7,15.176786717552936
9.799999999999999,15.123020859253561
9.899999999999999,15.021097942988957
10.0,14.928975253653087
10.1,14.889503312120393
10.2,14.67262871003647
10.299999999999999,14.609988919236992
10.399999999999999,14.453462529166803
10.5,14.326754413912685
10.6,14.16827899953182
10.7,13.952251701160368
10.799999999999999,13.871900999721182
10.899999999999999,13.580277575063295
11.0,13.404292599409553
11.1,13.184378218628474
11.2,12.92861501009639
11.299999999999999,12.693069749398145
11.399999999999999,12.355567471688307
11.5,12.150959957745101
11.6,11.737690639783391
11.7,11.429605570343641
11.799999999999999,11.087044582096153
11.899999999999999,10.640143270334468
11.999999999999998,10.269568054116718
12.1,9.790661181815892
12.2,9.341114510189916
12.299999999999999,8.78583537688122
12.399999999999999,8.3052085464942
12.499999999999998,7.672219921583103
12.6,7.077566140723049
12.7,6.471070500148047
12.799999999999999,5.71440089847115
12.899999999999999,5.116748570534537
12.999999999999998,4.310662807342124
13.1,3.623632259635845
13.2,2.905592627264311
13.299999999999999,2.156878898823074
13.399999999999999,1.6214659575117358
13.499999999999998,0.9375055450397812
13.6,0.5398613334278988
13.7,0.20333175121115243
13.799999999999999,0.0027469006671369226
13.899999999999999,-0.038851672402839064
13.999999999999998,-0.06440379248838096
14.1,0.07550399012984059
14.2,0.13087755142828983
14.299999999999999,0.3309844825925435
14.399999999999999,0.37858772826973025
14.499999999999998,0.5583621736702674
14.6,0.5362338136602722
14.7,0.665782349963929
14.799999999999999,0.5980827920534285
14.899999999999999,0.6288405489074627
14.999999999999998,0.5302377030804326
15.1,0.46917971227585337
15.2,0.38774661946533384
15.299999999999999,0.25360110398422137
15.399999999999999,0.2004897650669764
15.499999999999998,0.11751667500053187
15.6,-0.02205544964671735
15.7,0.09407396416609912
15.799999999999999,-0.1173969308756341
15.899999999999999,0.01898099812917163
15.999999999999998,-0.017560414460010183
